Timestamp,Operation_Type,Facility_ID,Asset_Tag,Asset_Type,Status,Priority,Energy_Usage_kWh,Temperature_C,Pressure_Bar,Flow_Rate_LPM,Efficiency_Percent,Maintenance_Status,Operator_ID,Shift_Period,Department,Zone,Cost_Per_Hour_USD,Production_Units,Quality_Index,Safety_Score,Alert_Level,Last_Maintenance,Next_Maintenance,Downtime_Minutes,Throughput_Rate,Equipment_Age_Years,Vibration_Level,Noise_dB,Emission_Rate_kg_h
2024-09-26 08:00:00,Terminal,TRM_001,CNT_001,Container_Crane,Operational,High,450.2,35.6,12.5,250.8,94.2,Scheduled,OPR_101,Day_Shift,Port_Operations,Dock_A,125.50,42,98.5,95.2,Green,2024-09-20,2024-10-20,5,85.7,8,0.8,72.3,12.4
2024-09-26 08:15:00,Terminal,TRM_001,RTG_002,Rubber_Tire_Gantry,Operational,Medium,320.7,32.1,10.2,180.4,91.8,Good,OPR_102,Day_Shift,Port_Operations,Yard_B,95.25,38,97.1,96.8,Green,2024-09-18,2024-11-15,2,92.3,5,0.6,68.9,8.7
2024-09-26 08:30:00,Courier,CRR_001,VHC_003,Delivery_Truck,In_Transit,High,65.3,28.9,2.1,45.2,89.4,Good,DRV_201,Day_Shift,Logistics,Route_C,45.80,15,94.7,98.1,Yellow,2024-09-25,2024-10-25,0,78.6,3,0.4,65.2,5.2
2024-09-26 08:45:00,Workforce,WRK_001,EQP_004,Forklift,Operational,Medium,25.6,30.2,1.8,0,96.3,Excellent,WRK_301,Day_Shift,Warehouse,Section_D,22.75,28,99.2,97.5,Green,2024-09-22,2024-10-22,1,95.4,2,0.3,58.7,2.1
2024-09-26 09:00:00,Energy,ENR_001,GEN_005,Gas_Generator,Operational,Critical,1250.8,85.4,15.8,320.6,87.9,Needs_Attention,OPR_401,Day_Shift,Power_Plant,Unit_1,285.90,0,89.3,92.6,Yellow,2024-09-15,2024-10-01,12,76.8,12,1.2,78.4,45.6
2024-09-26 09:15:00,Terminal,TRM_002,STS_006,Ship_To_Shore_Crane,Operational,High,680.4,38.7,14.2,280.3,93.6,Good,OPR_103,Day_Shift,Port_Operations,Berth_2,165.40,35,96.8,94.7,Green,2024-09-19,2024-11-19,3,88.2,10,0.9,75.1,18.3
2024-09-26 09:30:00,Courier,CRR_002,VAN_007,Delivery_Van,Loading,Medium,42.1,26.5,2.0,35.7,92.7,Good,DRV_202,Day_Shift,Logistics,Hub_Central,38.50,12,96.4,97.9,Green,2024-09-24,2024-11-24,0,82.1,1,0.2,62.8,3.8
2024-09-26 09:45:00,Workforce,WRK_002,CONV_008,Conveyor_Belt,Operational,Low,95.7,33.8,3.5,450.9,94.8,Excellent,WRK_302,Day_Shift,Assembly,Line_E,35.60,85,98.7,99.1,Green,2024-09-21,2024-12-21,0,97.3,4,0.5,71.2,6.9
2024-09-26 10:00:00,Energy,ENR_002,TURB_009,Steam_Turbine,Operational,Critical,2150.3,125.6,25.4,580.2,85.1,Scheduled,OPR_402,Day_Shift,Power_Plant,Unit_2,495.75,0,86.7,91.3,Yellow,2024-09-10,2024-09-30,18,72.4,15,1.5,82.6,78.2
2024-09-26 10:15:00,Terminal,TRM_003,AGV_010,Automated_Guided_Vehicle,Operational,Medium,35.8,29.1,1.5,0,98.2,Excellent,AUTO,Day_Shift,Automation,Zone_F,28.90,22,99.5,98.8,Green,2024-09-23,2024-12-23,0,99.1,1,0.1,45.2,1.5
2024-09-26 10:30:00,Courier,CRR_003,BIKE_011,E_Bike,In_Transit,Low,8.4,24.7,0,15.3,95.6,Good,DRV_203,Day_Shift,Last_Mile,Urban_G,15.25,8,97.8,99.4,Green,2024-09-26,2024-10-26,0,89.7,0.5,0.1,52.4,0.8
2024-09-26 10:45:00,Workforce,WRK_003,ROB_012,Industrial_Robot,Operational,High,180.6,45.2,8.7,0,96.7,Good,AUTO,Day_Shift,Manufacturing,Cell_H,75.80,65,98.1,96.2,Green,2024-09-17,2024-10-17,4,94.8,6,0.7,69.5,4.2
2024-09-26 14:00:00,Terminal,TRM_001,CNT_001,Container_Crane,Operational,High,465.8,37.2,12.8,260.4,93.1,Good,OPR_104,Afternoon_Shift,Port_Operations,Dock_A,125.50,39,97.3,95.8,Green,2024-09-20,2024-10-20,2,84.6,8,0.9,73.7,13.1
2024-09-26 14:15:00,Energy,ENR_003,SOLAR_013,Solar_Panel_Array,Operational,Medium,850.2,55.3,0,0,78.4,Excellent,AUTO,Afternoon_Shift,Renewable,Field_I,0,0,94.2,99.7,Green,2024-09-01,2024-12-01,0,78.4,3,0,35.8,0
2024-09-26 14:30:00,Courier,CRR_001,VHC_003,Delivery_Truck,Operational,High,71.2,31.5,2.2,48.6,88.7,Needs_Service,DRV_201,Afternoon_Shift,Logistics,Route_C,45.80,18,93.5,96.9,Yellow,2024-09-25,2024-10-25,8,76.2,3,0.5,67.1,5.8
2024-09-26 14:45:00,Workforce,WRK_004,SCAN_014,Barcode_Scanner,Operational,Low,2.1,28.4,0,0,99.1,Excellent,WRK_303,Afternoon_Shift,Inventory,Station_J,8.75,156,99.8,99.2,Green,2024-09-25,2025-03-25,0,99.1,1,0,42.1,0.1
2024-09-26 15:00:00,Terminal,TRM_002,RTG_015,Rubber_Tire_Gantry,Maintenance,High,0,25.8,0,0,0,Under_Maintenance,MNT_501,Afternoon_Shift,Port_Operations,Yard_B,0,0,0,0,Red,2024-09-26,2024-09-26,45,0,7,0,35.2,0
2024-09-26 15:15:00,Energy,ENR_001,GEN_005,Gas_Generator,Operational,Critical,1180.4,82.7,14.9,295.3,89.2,Scheduled,OPR_403,Afternoon_Shift,Power_Plant,Unit_1,285.90,0,90.1,93.4,Yellow,2024-09-15,2024-10-01,0,78.9,12,1.1,76.8,42.3
2024-09-26 15:30:00,Courier,CRR_004,DRONE_016,Delivery_Drone,In_Transit,Medium,12.5,22.1,0,0,94.3,Good,AUTO,Afternoon_Shift,Express,Air_K,25.40,3,96.7,98.5,Green,2024-09-24,2024-11-24,0,94.3,0.8,0.2,58.9,1.2
2024-09-26 15:45:00,Workforce,WRK_002,CONV_008,Conveyor_Belt,Operational,Low,102.3,35.1,3.7,470.2,93.5,Good,WRK_302,Afternoon_Shift,Assembly,Line_E,35.60,92,97.9,98.7,Green,2024-09-21,2024-12-21,1,96.1,4,0.6,72.8,7.4
2024-09-26 22:00:00,Terminal,TRM_003,STS_017,Ship_To_Shore_Crane,Operational,Medium,420.6,33.9,11.8,195.7,95.4,Excellent,OPR_105,Night_Shift,Port_Operations,Berth_3,165.40,28,98.2,96.1,Green,2024-09-22,2024-12-22,1,91.3,6,0.7,71.4,15.2
2024-09-26 22:15:00,Energy,ENR_004,WIND_018,Wind_Turbine,Operational,High,1850.7,18.6,0,0,82.3,Good,AUTO,Night_Shift,Renewable,Tower_L,0,0,91.5,98.9,Green,2024-09-15,2024-12-15,0,82.3,9,1.8,95.2,0
2024-09-26 22:30:00,Courier,CRR_002,VAN_007,Delivery_Van,Operational,Low,38.9,23.2,1.9,28.4,93.8,Good,DRV_204,Night_Shift,Logistics,Hub_Central,38.50,9,97.1,98.3,Green,2024-09-24,2024-11-24,0,85.7,1,0.3,61.2,3.2
2024-09-26 22:45:00,Workforce,WRK_005,CLEAN_019,Cleaning_Robot,Operational,Low,15.3,27.8,1.2,25.6,97.2,Excellent,AUTO,Night_Shift,Maintenance,All_Zones,12.30,0,98.9,99.6,Green,2024-09-25,2024-12-25,0,97.2,2,0.2,48.7,0.5
2024-09-26 23:00:00,Terminal,TRM_001,AGV_020,Automated_Guided_Vehicle,Operational,Medium,32.1,26.5,1.4,0,98.7,Excellent,AUTO,Night_Shift,Automation,Zone_M,28.90,19,99.3,99.1,Green,2024-09-24,2024-12-24,0,98.7,0.8,0.1,44.6,1.2
2024-09-26 23:15:00,Energy,ENR_002,TURB_009,Steam_Turbine,Operational,Critical,1950.2,118.4,23.7,525.8,87.6,Needs_Attention,OPR_404,Night_Shift,Power_Plant,Unit_2,495.75,0,88.3,92.1,Yellow,2024-09-10,2024-09-30,6,74.8,15,1.4,81.2,72.6
2024-09-26 23:30:00,Courier,CRR_005,SCOOT_021,E_Scooter,Charging,Low,5.2,21.9,0,0,0,Good,DRV_205,Night_Shift,Micro_Mobility,Station_N,8.75,0,95.4,98.7,Green,2024-09-26,2024-11-26,120,0,0.3,0,35.1,0
2024-09-26 23:45:00,Workforce,WRK_003,ROB_012,Industrial_Robot,Operational,High,195.7,47.6,9.1,0,95.8,Good,AUTO,Night_Shift,Manufacturing,Cell_H,75.80,58,97.4,95.9,Green,2024-09-17,2024-10-17,2,93.2,6,0.8,70.9,4.8
2024-09-27 00:00:00,Terminal,TRM_004,REACH_022,Reach_Stacker,Operational,High,285.4,29.3,5.6,0,92.1,Scheduled,OPR_106,Night_Shift,Container_Yard,Block_O,89.60,31,96.2,94.3,Yellow,2024-09-20,2024-10-05,3,89.4,11,1.0,74.5,8.9
2024-09-27 00:15:00,Energy,ENR_005,BATTERY_023,Battery_Storage,Operational,Medium,0,32.7,0,0,91.5,Good,AUTO,Night_Shift,Energy_Storage,Facility_P,0,0,96.8,99.4,Green,2024-09-20,2024-12-20,0,91.5,2,0,38.4,0
2024-09-27 00:30:00,Courier,CRR_001,VHC_003,Delivery_Truck,Operational,Medium,58.7,25.1,2.0,32.8,91.3,Needs_Service,DRV_206,Night_Shift,Logistics,Route_C,45.80,11,92.8,97.2,Yellow,2024-09-25,2024-10-25,0,79.8,3,0.4,64.7,4.9
2024-09-27 01:00:00,Workforce,WRK_006,CTRL_024,Control_System,Operational,Critical,125.8,42.3,0,0,98.9,Excellent,AUTO,Night_Shift,Automation,Central_Q,185.50,0,99.1,99.8,Green,2024-09-23,2024-12-23,0,98.9,3,0,41.2,2.1
2024-09-27 01:15:00,Terminal,TRM_002,STS_006,Ship_To_Shore_Crane,Standby,Low,45.2,31.8,2.1,0,0,Good,OPR_107,Night_Shift,Port_Operations,Berth_2,165.40,0,0,98.5,Green,2024-09-19,2024-11-19,0,0,10,0.1,42.8,1.2
2024-09-27 01:30:00,Energy,ENR_003,SOLAR_013,Solar_Panel_Array,Standby,Low,0,19.4,0,0,0,Excellent,AUTO,Night_Shift,Renewable,Field_I,0,0,0,99.7,Green,2024-09-01,2024-12-01,0,0,3,0,28.3,0